datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,chla_adj,poc,o2_c,cphyto,bbp,sigma
2019-11-08 07:11:18,55.9273,-34.2383,124.0,7.006,34.875,-0.00366103996244,0.03026,1.89185,0.00349267849233,1.7,0.06,0.00485344827586,-0.191799993012,10.7452513924,7.22735908061,0.000401112303286,27.3242486232
2019-11-08 07:11:18,55.9273,-34.2383,126.0,7.002,34.874,-0.00366103996339,0.04094,1.91595,0.00349267849233,1.8,0.11,0.00945689655172,-0.369275622742,10.7223796151,7.14445135958,0.000396101981177,27.3240469111
2019-11-08 07:11:18,55.9273,-34.2383,128.0,6.994,34.873,-0.00366103996533,0.03382,1.91595,0.00302945853314,1.7,0.07,0.00638793103448,-0.458342680718,10.6744050374,7.10284369317,0.000393587525247,27.3243978699
2019-11-08 07:11:18,55.9273,-34.2383,130.0,6.954,34.868,-0.00366103997253,0.02848,1.9039,0.00349267849233,1.7,0.09,0.00408620689655,-0.815021835342,10.6098873735,6.93622106507,0.000383518100747,27.3260177237
2019-11-08 07:11:18,55.9273,-34.2383,132.0,6.831,34.854,-0.00366103999253,0.03026,1.9039,0.00349267849233,1.7,0.05,0.00485344827586,1.83832616932,10.5472845737,8.17573229549,0.000458424881975,27.3319014693
2019-11-08 07:11:18,55.9273,-34.2383,134.0,6.778,34.846,-0.00366104000021,0.0356,1.94005,0.00349267849233,1.7,0.06,0.00715517241379,-0.292112072074,10.4994587161,7.18049830384,0.000398280388683,27.3328483048
2019-11-08 07:11:18,55.9273,-34.2383,136.0,6.756,34.847,-0.00366104000349,0.03382,1.9521,0.00395589845153,1.7,0.07,0.00638793103448,-0.293606766783,10.4729642205,7.17980005737,0.000398238191893,27.3366556797
2019-11-08 07:11:18,55.9273,-34.2383,138.0,6.752,34.849,-0.00366104000417,0.0356,1.96415,0.00349267849233,1.7,0.07,0.00715517241379,-0.294051170403,10.4578882067,7.17959245427,0.000398225645915,27.3388053695
2019-11-08 07:11:18,55.9273,-34.2383,140.0,6.751,34.849,-0.00366104000448,0.03026,1.94005,0.00349267849233,1.7,0.07,0.00485344827586,-1.35803076578,10.4345096174,6.68255450256,0.000368188392361,27.3389709465
2019-11-08 07:11:18,55.9273,-34.2383,142.0,6.719,34.848,-0.00366104000993,0.03204,1.9521,0.00302945853314,1.7,0.06,0.00562068965517,-1.35997614804,10.4121012823,6.68164571745,0.000368133472191,27.3425483618
2019-11-08 07:11:18,55.9273,-34.2383,144.0,6.697,34.849,-0.00366104001356,0.03204,1.94005,0.00349267849233,1.7,0.07,0.00562068965517,-1.00683737822,10.4004326884,6.84661445518,0.000378102947936,27.3463410664
2019-11-08 07:11:18,55.9273,-34.2383,146.0,6.674,34.849,-0.00366104001694,0.03204,1.94005,0.00441911841073,1.7,0.07,0.00562068965517,-1.27428724714,10.4014044775,6.72167527814,0.000370552559225,27.3494745159
2019-11-08 07:11:18,55.9273,-34.2383,148.0,6.666,34.85,-0.00366104001831,0.0356,1.9521,0.00349267849233,1.7,0.08,0.00715517241379,0.675618230878,10.3942157922,7.63257340911,0.000425600424337,27.3513709604
2019-11-08 07:11:18,55.9273,-34.2383,150.0,6.655,34.851,-0.0036610400199,0.03204,1.9762,0.00302945853314,1.7,0.05,0.00562068965517,-0.389097146571,10.4004326884,7.13519173688,0.000395542398889,27.3536705448
2019-11-08 07:11:18,55.9273,-34.2383,152.0,6.653,34.852,-0.0036610400203,0.02848,1.94005,0.00349267849233,1.7,0.08,0.00408620689655,-0.743958851116,10.4056168105,6.96941813039,0.0003855242829,27.3547570928
2019-11-08 07:11:18,55.9273,-34.2383,154.0,6.651,34.856,-0.00366104002057,0.03382,1.9762,0.00349267849233,1.7,0.07,0.00638793103448,2.8905793183,10.4010805358,8.66729223905,0.000488131085718,27.3582088823
2019-11-08 07:11:18,55.9273,-34.2383,156.0,6.647,34.858,-0.00366104002123,0.03026,1.96415,0.00395589845153,1.7,0.08,0.00485344827586,-0.744912913739,10.390332474,6.96897244014,0.000385497348717,27.3603522745
2019-11-08 07:11:18,55.9273,-34.2383,158.0,6.642,34.861,-0.00366104002196,0.03026,1.9762,0.00441911841073,1.6,0.08,0.00485344827586,-1.36613587107,10.3816659503,6.6787682035,0.000367959576786,27.3634187284
2019-11-08 07:11:18,55.9273,-34.2383,160.0,6.646,34.866,-0.00366104002096,0.03026,1.96415,0.00441911841073,1.7,0.07,0.00485344827586,-0.834395956212,10.3797268601,6.92717044662,0.00038297114911,27.3668522288
2019-11-08 07:11:18,55.9273,-34.2383,162.0,6.653,34.873,-0.00366104002004,0.03382,1.9521,0.00441911841073,1.7,0.05,0.00638793103448,-1.36656941394,10.3806963514,6.678565674,0.000367947337419,27.3714591855
2019-11-08 07:11:18,55.9273,-34.2383,164.0,6.658,34.881,-0.0036610400194,0.03204,1.9521,0.00441911841073,1.7,0.05,0.00562068965517,-1.01236937758,10.3907207283,6.84403018228,0.000377946773825,27.3771235465
2019-11-08 07:11:18,55.9273,-34.2383,166.0,6.637,34.88,-0.00366104002262,0.02848,1.9762,0.00488233836992,1.6,0.07,0.00408620689655,-0.658982529103,10.3887796293,7.00911480993,0.000387923253088,27.379188461
2019-11-08 07:11:18,55.9273,-34.2383,168.0,6.635,34.88,-0.00366104002282,0.02848,1.96415,0.00395589845153,1.7,0.06,0.00408620689655,-0.836430190094,10.3910442866,6.92622015449,0.000382913720566,27.3794850969
2019-11-08 07:11:18,55.9273,-34.2383,170.0,6.637,34.881,-0.00366104002261,0.03026,1.9762,0.00395589845153,1.7,0.04,0.00485344827586,-0.304438788767,10.3871623758,7.17473987948,0.000397932392616,27.3800327935
2019-11-08 07:11:18,55.9273,-34.2383,172.0,6.638,34.881,-0.00366104002231,0.03204,1.96415,0.00441911841073,1.7,0.07,0.00562068965517,-0.570353597445,10.3861921673,7.05051780567,0.000390425340256,27.3799261461
2019-11-08 07:11:18,55.9273,-34.2383,174.0,6.642,34.883,-0.00366104002154,0.03026,1.96415,0.00395589845153,1.7,0.11,0.00485344827586,-0.658946403281,10.3784343722,7.0091316861,0.000387924272958,27.3809936153
2019-11-08 07:11:18,55.9273,-34.2383,176.0,6.649,34.885,-0.00366104002038,0.0267,1.94005,0.00395589845153,1.6,0.09,0.00331896551724,-0.570027544153,10.3690695478,7.05067012143,0.000390434545081,27.3816572547
2019-11-08 07:11:18,55.9273,-34.2383,178.0,6.65,34.888,-0.00366104002015,0.03204,1.9521,0.00395589845153,1.6,0.07,0.00562068965517,-1.27952531636,10.3487598134,6.71922831467,0.000370404683068,27.3839152263
2019-11-08 07:11:18,55.9273,-34.2383,180.0,6.659,34.894,-0.00366104001854,0.0267,1.96415,0.00395589845153,1.6,0.04,0.00331896551724,-0.747559588878,10.3326745618,6.96773604613,0.000385422630318,27.3874622273
2019-11-08 07:11:18,55.9273,-34.2383,182.0,6.688,34.904,-0.00366104001407,0.03204,1.98825,0.00349267849233,1.7,0.07,0.00562068965517,0.139945755249,10.328497254,7.38233407066,0.000410477831722,27.39146449
2019-11-08 07:11:18,55.9273,-34.2383,184.0,6.704,34.909,-0.00366104001149,0.0267,1.96415,0.00441911841073,1.7,0.07,0.00331896551724,-0.923420883268,10.3333174023,6.88558246168,0.00038045788258,27.3932721747
2019-11-08 07:11:18,55.9273,-34.2383,186.0,6.716,34.913,-0.00366104000952,0.03026,1.9762,0.00395589845153,1.7,0.1,0.00485344827586,-0.479734892875,10.3407134781,7.0928503236,0.000392983600788,27.3948297316
2019-11-08 07:11:18,55.9273,-34.2383,188.0,6.731,34.919,-0.00366104000724,0.0267,1.96415,0.00395589845153,1.7,0.08,0.00331896551724,-0.479345696282,10.3426439216,7.09303213675,0.000392994588214,27.3975561483
2019-11-08 07:11:18,55.9273,-34.2383,190.0,6.736,34.92,-0.00366104000634,0.02848,1.9762,0.00395589845153,1.7,0.06,0.00408620689655,-0.656440671381,10.3497258726,7.01030223848,0.000387995012383,27.3976936219
2019-11-08 07:11:18,55.9273,-34.2383,192.0,6.737,34.923,-0.00366104000632,0.03204,1.94005,0.00441911841073,1.7,0.07,0.00562068965517,-0.390682168897,10.3555244754,7.13445129388,0.000395497652055,27.3999504135
2019-11-08 07:11:18,55.9273,-34.2383,194.0,6.731,34.925,-0.00366104000709,0.0267,1.9521,0.00441911841073,1.7,0.09,0.00331896551724,2.35719478372,10.3552022297,8.41812171201,0.000473073084064,27.4023676922
