datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,bbp,sigma,poc,o2_c,chla_adj,cphyto
2019-10-24 07:14:31,56.4541,-33.5873,102.0,6.814,34.841,-0.00366103999338,0.03916,1.8798,0.00349267849233,1.6,0.04,0.000455926278277,27.323490783,1.74982062914,10.9375757481,0.00868965517241,8.13438694207
2019-10-24 07:14:31,56.4541,-33.5873,104.0,6.776,34.842,-0.00366103999926,0.04094,1.9039,0.00349267849233,1.6,0.07,0.000468370235445,27.3294866205,2.19061047993,10.9265040695,0.00945689655172,8.3403018727
2019-10-24 07:14:31,56.4541,-33.5873,106.0,6.788,34.847,-0.00366103999676,0.0356,1.89185,0.00349267849233,1.7,0.05,0.000423325203967,27.3318262803,0.595025374919,10.9217632062,0.00715517241379,7.59492446526
2019-10-24 07:14:31,56.4541,-33.5873,108.0,6.785,34.85,-0.00366103999761,0.0356,1.8798,0.00349267849233,1.7,0.07,0.000440832473861,27.3346306593,1.2151678891,10.9251296507,0.00715517241379,7.88462397299
2019-10-24 07:14:31,56.4541,-33.5873,110.0,6.794,34.854,-0.00366103999611,0.03382,1.8798,0.00302945853314,1.7,0.06,0.000423317231913,27.3365893616,0.594742988838,10.9231371139,0.00638793103448,7.59479254863
2019-10-24 07:14:31,56.4541,-33.5873,112.0,6.815,34.861,-0.0036610399927,0.0356,1.8798,0.00349267849233,1.7,0.04,0.000430845006548,27.3392751434,0.861391821956,10.9248547919,0.00715517241379,7.71935752188
2019-10-24 07:14:31,56.4541,-33.5873,114.0,6.824,34.87,-0.00366103999168,0.03382,1.91595,0.00349267849233,1.7,0.06,0.000445854776186,27.345171972,1.39306788206,10.9179860352,0.00638793103448,7.96772993525
2019-10-24 07:14:31,56.4541,-33.5873,116.0,6.818,34.873,-0.00366103999284,0.03738,1.89185,0.00302945853314,1.7,0.06,0.000413297595411,27.34838727,0.239827424662,10.9148967951,0.0079224137931,7.42899378161
2019-10-24 07:14:31,56.4541,-33.5873,118.0,6.814,34.873,-0.00366103999342,0.02848,1.89185,0.00349267849233,1.7,0.06,0.000400775656112,27.3489643399,-0.203724709209,10.9131810063,0.00408620689655,7.22178845074
2019-10-24 07:14:31,56.4541,-33.5873,120.0,6.814,34.873,-0.00366103999353,0.03204,1.89185,0.00395589845153,1.7,0.04,0.000423302247686,27.34899538,0.594212217522,10.9107794487,0.00562068965517,7.59454459887
