Cruise,Subregion,Season,Station,Date,datetime,decimaldate,Latitude,Longitude,degree_bin,CampCN,Z_MLD,Z_XML,Target_Z,PhytoC,sd_PhytoC
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,400,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,500,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,750,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,1000,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,1250,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,1500,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,0,4.959972,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,5,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,10,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,25,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,50,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,75,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,100,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,101,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,150,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,200,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,300,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,400,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,416,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,500,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,750,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,1000,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,1250,,
AT32,Subtropical,Late Autumn,4,11/18/15,2015-11-18T11:30:00Z,2015.880765,46.2,-37.867,46,14,101,101,1500,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,0,6.907144,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,5,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,10,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,25,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,50,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,75,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,79.1,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,100,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,150,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,200,,
