Kingdom	Phylum	Class	Order	Family	Genus
N4066	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4067	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N4068	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_I	NA
N4069	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N4070	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4071	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N4072	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	NA
N4073	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4074	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4075	Bacteria	Chloroflexi	NA	NA	NA	NA
N4076	Bacteria	Acidobacteria	Acidobacteria	Subgroup_11	NA	NA
N4077	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N4080	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
N4082	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4083	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N4084	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N4085	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N4086	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4087	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4088	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N4089	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4090	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
N4091	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacter
N4093	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum
N4095	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus
N4096	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4097	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N4098	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
N4099	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4100	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4101	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N4102	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4103	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N4105	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade	SAR202_Clade	NA
N4107	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N4108	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N4109	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
N4110	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	NA
N4111	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N4112	Bacteria	NA	NA	NA	NA	NA
N4113	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N4114	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	NA
N4115	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N4116	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N4117	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N4118	Bacteria	NA	NA	NA	NA	NA
N4119	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N4120	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA
N4121	Bacteria	Verrucomicrobia	Opitutae	NA	NA	NA
N4124	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	NA
N4126	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N4127	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N4128	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS7_marine_group	NA
N4129	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade	SAR202_Clade	NA
N4130	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
N4131	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4132	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N4133	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	NA
N4135	Bacteria	NA	NA	NA	NA	NA
N4136	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N4137	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N4138	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N4139	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4140	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N4141	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4142	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4143	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N4144	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS7_marine_group	NA
N4146	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4147	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N4148	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N4153	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4154	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4155	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4156	Bacteria	NA	NA	NA	NA	NA
N4157	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade	SAR202_Clade	NA
N4158	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N4159	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4161	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4162	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N4163	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4164	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N4165	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N4166	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA
N4167	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N4168	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
N4169	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	NA	NA
N4170	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N4173	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
N4175	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	NA
N4176	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4177	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N4178	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19	NA
N4179	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita
N4180	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4181	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4182	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N4183	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N4186	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N4187	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4188	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4189	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4190	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N4191	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N4192	Bacteria	Proteobacteria	Deltaproteobacteria	GR-WP33-30	NA	NA
N4193	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
N4194	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4196	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N4199	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N4200	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Methylophaga
N4201	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4202	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
N4203	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N4204	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N4205	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4206	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N4207	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_I	NA
N4208	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4209	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N4210	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N4211	Bacteria	NA	NA	NA	NA	NA
N4212	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N4213	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N4214	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Pseudofulvibacter
N4216	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4217	Bacteria	Verrucomicrobia	Opitutae	NA	NA	NA
N4218	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4219	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4220	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	NA
N4221	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
N4222	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4223	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N4224	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N4225	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N4226	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N4227	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4229	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseibacillus
N4230	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	NA
N4232	Bacteria	Proteobacteria	AEGEAN-245	NA	NA	NA
N4233	Bacteria	NA	NA	NA	NA	NA
N4234	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N4235	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N4236	Bacteria	NA	NA	NA	NA	NA
N4237	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N4238	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N4239	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4240	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N4243	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
N4245	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N4246	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA
N4247	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Salinirepens
N4248	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4249	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4250	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N4251	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N4252	Bacteria	NA	NA	NA	NA	NA
N4253	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4254	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4255	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N4256	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4257	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N4258	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4260	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4261	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4262	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4263	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4264	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4265	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4266	Bacteria	Gracilibacteria	NA	NA	NA	NA
N4267	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N4268	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N4269	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N4270	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N4272	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rubripirellula
N4273	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N4274	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4275	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4276	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4277	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N4279	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N4280	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	NA	NA
N4281	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade
N4282	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS7_marine_group	NA
N4284	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4285	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NA	NA
N4286	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1
N4287	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4289	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4290	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4294	Bacteria	NA	NA	NA	NA	NA
N4295	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N4296	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4297	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
N4298	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N4299	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4300	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N4301	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N4302	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N4304	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N4305	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4308	Bacteria	Planctomycetes	NA	NA	NA	NA
N4309	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4310	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N4311	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N4312	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N4313	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA
N4314	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4315	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4316	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4317	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4318	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	E12-CR02-full	NA
N4319	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N4320	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
N4321	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N4322	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N4323	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N4324	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N4325	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4326	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N4327	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Lentimonas
N4328	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4329	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N4330	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N4331	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS7_marine_group	NA
N4332	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4334	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N4336	Bacteria	NA	NA	NA	NA	NA
N4337	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4338	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N4339	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4340	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N4341	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N4342	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14	NA	NA
N4343	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4344	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IIIa	NA
N4345	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Fulvivirga
N4346	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N4347	Bacteria	Acidobacteria	Acidobacteria	Subgroup_6	NA	NA
N4348	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade4	SAR202_Clade4	NA
N4349	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N4350	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N4351	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4352	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N4353	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4354	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4357	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
N4362	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N4363	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA
N4364	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N4365	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N4366	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	NA
N4367	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N4368	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
N4369	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter
N4370	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N4371	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N4372	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N4373	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
N4374	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N4375	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N4376	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N4377	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS7_marine_group	NA
N4378	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4382	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N4383	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N4384	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N4385	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetovibrio
N4386	Bacteria	NA	NA	NA	NA	NA
N4387	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N4388	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N4389	Bacteria	NA	NA	NA	NA	NA
N4390	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N4391	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N4393	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4394	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola
N4395	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N4397	Bacteria	Chloroflexi	SAR202_clade	NA	NA	NA
N4398	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N4402	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter
N4403	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N4404	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA
N4405	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N4406	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N4407	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4408	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4409	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4410	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4411	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
N4412	Bacteria	NA	NA	NA	NA	NA
N4413	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N4415	Bacteria	Proteobacteria	Gammaproteobacteria	E01-9C-26_marine_group	NA	NA
N4416	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4419	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N4421	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	LWSR-14	NA
N4422	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N4423	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N4424	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N4425	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
